sens1,sens2
90,58
80,63
84,63
94,64
90,58
91,63
62,60
96,60
75,62
84,62
86,59
93,65
69,60
88,63
71,53
74,62
68,60
88,60
71,61
87,61
82,59
68,63
73,65
69,59
57,62
43,58
47,57
73,64
78,58
83,62
87,63
77,62
80,63
69,66
63,55
78,59
66,59
72,59
54,63
73,60
82,63
90,58
92,68
63,63
69,60
97,62
85,59
86,65
84,63
88,65
78,60
88,63
80,62
75,63
88,38
69,38
84,33
76,59
84,63
87,68
87,64
67,65
62,65
84,61
89,63
81,66
84,66
85,60
89,68
81,63
91,63
82,66
94,63
85,59
102,61
76,67
86,59
87,62
83,59
93,60
87,65
80,60
87,62
75,65
75,56
68,66
94,66
77,60
82,70
94,63
78,64
84,58
82,60
100,60
68,59
81,60
93,56
91,58
78,62
77,56
85,75
84,57
72,59
58,62
80,66
66,59
86,58
74,61
86,53
71,53
87,56
73,57
76,56
66,56
68,64
86,55
90,67
83,65
75,68
84,61
88,63
85,66
92,60
94,62
92,69
77,64
93,62
77,63
73,62
88,60
76,61
93,60
76,55
87,56
90,58
91,54
102,35
75,60
68,58
81,59
93,34
93,31
84,52
87,57
80,55
86,52
67,54
94,56
79,54
70,56
82,53
85,47
88,52
85,52
72,58
78,52
79,55
80,47
65,53
80,49
69,49
91,55
97,51
94,53
96,53
77,46
79,52
78,61
71,63
88,62
76,62
71,67
64,61
66,63
74,59
70,61
75,61
79,61
71,61
74,63
95,63
98,61
92,63
66,67
67,59
59,62
75,63
90,65
76,58
71,64
87,62
89,62
79,57
77,62
84,61
84,56
87,62
93,60
83,64
88,61
90,64
89,62
84,65
88,62
95,52
86,60
79,61
89,60
79,62
75,62
84,62
83,65
74,57
64,64
75,63
72,63
88,61
76,61
73,64
86,57
87,62
87,60
83,61
88,60
85,65
83,61
86,62
84,59
72,57
81,60
86,61
69,61
57,63
83,61
90,67
74,60
63,65
85,64
73,63
83,65
74,62
67,64
89,60
89,65
81,59
89,60
75,57
77,57
67,64
90,60
88,61
96,64
79,59
89,64
93,63
72,64
93,64
72,63
76,66
86,61
78,62
89,64
75,64
87,64
83,66
77,67
92,65
82,64
82,65
82,65
84,60
75,65
79,58
72,59
96,61
75,62
66,54
89,64
74,61
87,60
81,65
90,66
79,63
82,65
93,55
71,66
90,61
97,64
81,62
85,63
78,57
78,61
70,60
99,67
85,64
98,58
82,64
74,60
84,58
93,57
90,67
91,56
77,55
83,62
80,45
84,60
78,61
80,63
73,63
80,60
82,58
79,66
68,58
75,61
94,67
76,62
93,61
77,64
84,69
88,61
98,64
81,65
78,66
81,67
87,65
94,68
91,67
81,64
85,66
93,72
84,58
81,64
72,62
91,74
72,65
72,68
82,61
74,64
85,59
89,67
75,63
74,63
82,66
73,59
62,63
66,66
71,61
78,61
92,63
68,56
73,63
79,61
79,65
76,62
80,65
79,64
83,65
73,62
64,66
64,66
73,63
71,60
67,65
74,66
84,60
90,61
68,66
79,67
92,63
87,61
71,59
90,60
88,60
93,63
91,63
93,61
83,61
82,61
89,62
86,61
88,63
80,63
97,64
94,63
86,65
93,65
86,66
89,62
67,63
94,63
89,63
86,61
82,62
80,67
91,68
90,64
89,62
81,63
74,66
94,61
76,62
88,61
92,63
78,61
78,65
75,52
71,67
80,69
90,65
87,63
94,65
77,66
82,57
87,61
71,63
79,62
94,61
98,62
83,64
70,62
77,67
73,63
83,64
89,65
60,69
73,65
91,60
80,65
82,62
96,66
79,66
82,65
84,64
74,61
88,64
86,63
94,67
73,63
83,66
76,66
78,65
76,64
92,66
83,67
76,63
78,63
97,64
83,65
69,67
71,64
92,69
91,62
92,62
77,66
84,66
81,71
62,69
83,64
82,63
96,65
96,63
89,63
102,62
89,66
82,67
80,60
87,61
85,69
71,62
73,62
72,70
94,65
73,66
83,69
89,60
83,63
91,64
91,62
79,62
72,59
82,54
71,61
80,68
87,63
81,63
97,61
84,59
88,58
86,59
81,67
91,62
79,70
88,51
99,64
92,64
81,60
85,49
82,61
78,66
84,64
87,68
70,63
84,68
85,62
78,64
91,67
79,65
87,63
74,57
90,63
81,63
89,61
98,62
81,62
78,66
77,63
91,62
87,69
83,65
65,66
87,63
72,65
95,59
86,61
80,64
62,62
72,64
78,66
74,62
84,64
88,62
72,64
71,59
72,63
73,59
81,65
81,64
92,62
79,59
95,62
76,60
82,60
77,67
79,59
87,63
87,60
84,63
86,63
84,58
79,61
83,66
82,60
82,62
85,61
83,61
84,62
84,64
83,60
77,62
72,63
88,63
81,63
86,70
93,63
78,66
80,68
95,62
80,65
90,63
90,58
82,61
100,63
78,69
71,62
86,64
75,65
79,62
90,68
80,65
86,62
81,60
83,68
73,63
81,63
77,65
84,65
67,66
90,65
81,64
86,66
89,66
97,60
81,62
82,68
91,69
77,67
80,62
90,65
